"t0","t1","t1_normalized","tweets_count","indicator"
2018-10-07 07:00:00, 2018-10-07 07:27:39, 2018-10-07 08:00:00, 3257, 0.157
2018-10-07 08:00:00, 2018-10-07 08:59:58, 2018-10-07 09:00:00, 5698, 0.164
2018-10-07 09:00:00, 2018-10-07 09:59:58, 2018-10-07 10:00:00, 5922, 0.149
2018-10-07 10:00:00, 2018-10-07 10:59:59, 2018-10-07 11:00:00, 6297, 0.151
2018-10-07 11:00:00, 2018-10-07 11:59:59, 2018-10-07 12:00:00, 6476, 0.151
2018-10-07 12:00:00, 2018-10-07 12:59:59, 2018-10-07 13:00:00, 7266, 0.124
2018-10-07 13:00:00, 2018-10-07 13:59:59, 2018-10-07 14:00:00, 7192, 0.141
2018-10-07 14:00:00, 2018-10-07 14:59:59, 2018-10-07 15:00:00, 7463, 0.152
2018-10-07 15:00:00, 2018-10-07 15:59:59, 2018-10-07 16:00:00, 7968, 0.163
2018-10-07 16:00:00, 2018-10-07 16:59:55, 2018-10-07 17:00:00, 6896, 0.184
2018-10-07 17:00:00, 2018-10-07 17:59:57, 2018-10-07 18:00:00, 6970, 0.167
2018-10-07 18:00:00, 2018-10-07 18:59:59, 2018-10-07 19:00:00, 6129, 0.172
2018-10-07 19:00:00, 2018-10-07 19:59:59, 2018-10-07 20:00:00, 5529, 0.158
2018-10-07 20:00:00, 2018-10-07 20:59:58, 2018-10-07 21:00:00, 5351, 0.160
2018-10-07 21:00:00, 2018-10-07 21:59:59, 2018-10-07 22:00:00, 5720, 0.156
2018-10-07 22:00:00, 2018-10-07 22:59:59, 2018-10-07 23:00:00, 5332, 0.142
2018-10-07 23:00:00, 2018-10-07 23:42:40, 2018-10-08 00:00:00, 3295, 0.114
